ID,Hostname,IPv4,IPv6,Download,Upload
,Hostname-1,100.65.0.0,8e95:12ce::/56,100,10
,Hostname-2,100.65.0.1,8e95:12ce:0:100::/56,100,10
,Hostname-3,100.65.0.2,8e95:12ce:0:200::/56,100,10
,Hostname-4,100.65.0.3,8e95:12ce:0:300::/56,100,10
,Hostname-5,100.65.0.4,8e95:12ce:0:400::/56,100,10
,Hostname-6,100.65.0.5,8e95:12ce:0:500::/56,100,10
,Hostname-7,100.65.0.6,8e95:12ce:0:600::/56,100,10
,Hostname-8,100.65.0.7,8e95:12ce:0:700::/56,100,10
,Hostname-9,100.65.0.8,8e95:12ce:0:800::/56,100,10
,Hostname-10,100.65.0.9,8e95:12ce:0:900::/56,100,10
,Hostname-11,100.65.0.10,8e95:12ce:0:a00::/56,100,10
,Hostname-12,100.65.0.11,8e95:12ce:0:b00::/56,100,10
,Hostname-13,100.65.0.12,8e95:12ce:0:c00::/56,100,10
,Hostname-14,100.65.0.13,8e95:12ce:0:d00::/56,100,10
,Hostname-15,100.65.0.14,8e95:12ce:0:e00::/56,100,10
,Hostname-16,100.65.0.15,8e95:12ce:0:f00::/56,100,10
,Hostname-17,100.65.0.16,8e95:12ce:0:1000::/56,100,10
,Hostname-18,100.65.0.17,8e95:12ce:0:1100::/56,100,10
,Hostname-19,100.65.0.18,8e95:12ce:0:1200::/56,100,10
,Hostname-20,100.65.0.19,8e95:12ce:0:1300::/56,100,10
,Hostname-21,100.65.0.20,8e95:12ce:0:1400::/56,100,10
,Hostname-22,100.65.0.21,8e95:12ce:0:1500::/56,100,10
,Hostname-23,100.65.0.22,8e95:12ce:0:1600::/56,100,10
,Hostname-24,100.65.0.23,8e95:12ce:0:1700::/56,100,10
,Hostname-25,100.65.0.24,8e95:12ce:0:1800::/56,100,10
,Hostname-26,100.65.0.25,8e95:12ce:0:1900::/56,100,10
